model_id,lab,country_iso3,date,workload_input_tokens,workload_output_tokens,input_usd_per_mtok,output_usd_per_mtok,workload_cost_usd,gni_per_capita_atlas_usd,gni_year,monthly_gni_pc_usd,intelligence_share_pct,basket_multiplier,basket_share_pct,fx_rate_local_per_usd,fx_rate_type,fx_date,fx_source,workload_cost_local,currency,hourly_minimum_wage_local,minimum_wage_date,min_wage_hours,basket_min_wage_hours,evidence_status,temporal_status,headline_eligible,weakest_input,formula_version,compiled
Gemini 3.8 Flash,Google,EGY,2026-09-02,1000000,250000,0.75,3.75,1.6875,3260.0,2025,271.6667,0.6212,20,12.4233,51.8636,official,2026-09-21,Central Bank of Egypt,87.5198,EGP,33.65,2025-03-01,2.6009,52.02,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
Gemini 3.8 Flash,Google,MAR,2026-09-02,1000000,250000,0.75,3.75,1.6875,4360.0,2025,363.3333,0.4644,20,9.289,9.5119,official,2026-09-18,Bank Al-Maghrib,16.0513,MAD,17.92,2026-01-01,0.8957,17.91,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
Gemini 3.8 Flash,Google,ETH,2026-09-02,1000000,250000,0.75,3.75,1.6875,1110.0,2025,92.5,1.8243,20,36.4865,160.649994,official,2026-09-18,Yahoo Finance (USDETB=X),271.0969,ETB,,,,,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
Gemini 3.8 Flash,Google,RWA,2026-09-02,1000000,250000,0.75,3.75,1.6875,1150.0,2025,95.8333,1.7609,20,35.2174,1467.849976,official,2026-09-21,Yahoo Finance (USDRWF=X),2476.9968,RWF,,,,,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
Gemini 3.8 Flash,Google,SEN,2026-09-02,1000000,250000,0.75,3.75,1.6875,1780.0,2025,148.3333,1.1376,20,22.7528,572.39,official,2026-09-18,BCEAO (Central Bank of West African States),965.9081,XOF,370.526,2023-07-01,2.6069,52.14,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
Gemini 3.8 Flash,Google,CIV,2026-09-02,1000000,250000,0.75,3.75,1.6875,2780.0,2025,231.6667,0.7284,20,14.5683,572.39,official,2026-09-18,BCEAO (Central Bank of West African States),965.9081,XOF,432.78,2023-01-01,2.2319,44.64,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
Kimi K3 (max),Moonshot AI,NGA,2026-07-16,1000000,250000,3.0,15.0,6.75,1360.0,2025,113.3333,5.9559,20,119.1176,1330.7027,official,2026-09-18,Central Bank of Nigeria,8982.2432,NGN,403.92,2024-05-01,22.2377,444.75,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
Kimi K3 (max),Moonshot AI,KEN,2026-07-16,1000000,250000,3.0,15.0,6.75,2200.0,2025,183.3333,3.6818,20,73.6364,129.49,official,2026-09-18,Central Bank of Kenya,874.0575,KES,92.55,2026-05-01,9.4442,188.88,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
Kimi K3 (max),Moonshot AI,ZAF,2026-07-16,1000000,250000,3.0,15.0,6.75,6270.0,2025,522.5,1.2919,20,25.8373,16.2057,official,2026-09-21,South African Reserve Bank,109.3885,ZAR,30.23,2026-03-01,3.6185,72.37,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
Kimi K3 (max),Moonshot AI,GHA,2026-07-16,1000000,250000,3.0,15.0,6.75,2630.0,2025,219.1667,3.0798,20,61.597,11.48,official,2026-09-21,Yahoo Finance (USDGHS=X),77.49,GHS,2.72,2026-01-01,28.489,569.78,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
