model_id,country_iso3,currency,base_date,date,price_usd_base,price_usd_now,fx_rate_base,fx_rate_now,rate_type,fx_source_base,fx_source_now,price_local_base,price_local_now,index_local,component_ratecard,component_fx,total_pct,ratecard_basis,partial_series,evidence_status,temporal_status,headline_eligible,weakest_input,formula_version,compiled
GPT-5.6 Luna,MAR,MAD,2026-01-15,2026-09-18,2.5,0.5,9.2216,9.5119,official,Bank Al-Maghrib,Bank Al-Maghrib,23.054,4.7559,20.6296,-160.943791,3.099509,-157.844282,recorded event,yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
GPT-5.6 Luna,ETH,ETB,2026-01-15,2026-09-18,2.5,0.5,154.899994,160.649994,official,Yahoo Finance (USDETB=X),Yahoo Finance (USDETB=X),387.25,80.325,20.7424,-160.943791,3.644834,-157.298957,recorded event,yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
GPT-5.6 Luna,RWA,RWF,2026-01-15,2026-09-21,2.5,0.5,1447.0,1467.849976,official,Yahoo Finance (USDRWF=X),Yahoo Finance (USDRWF=X),3617.5,733.925,20.2882,-160.943791,1.430628,-159.513163,recorded event,yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
GPT-5.6 Luna,SEN,XOF,2026-01-15,2026-09-18,2.5,0.5,561.0,572.39,official,Yahoo Finance (USDXOF=X),BCEAO (Central Bank of West African States),1402.5,286.195,20.4061,-160.943791,2.009967,-158.933824,recorded event,yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
GPT-5.6 Luna,CIV,XOF,2026-01-15,2026-09-18,2.5,0.5,561.0,572.39,official,Yahoo Finance (USDXOF=X),BCEAO (Central Bank of West African States),1402.5,286.195,20.4061,-160.943791,2.009967,-158.933824,recorded event,yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
Muse Spark 1.1,NGA,NGN,2026-01-15,2026-09-18,2.3125,2.3125,1418.7844,1330.7027,official,Central Bank of Nigeria,Central Bank of Nigeria,3280.9389,3077.25,93.7917,0.0,-6.40933,-6.40933,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
Muse Spark 1.1,KEN,KES,2026-01-15,2026-09-18,2.3125,2.3125,129.03,129.49,official,Central Bank of Kenya,Central Bank of Kenya,298.3819,299.4456,100.3565,0.0,0.355872,0.355872,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
Muse Spark 1.1,ZAF,ZAR,2026-01-15,2026-09-21,2.3125,2.3125,16.4105,16.2057,official,South African Reserve Bank,South African Reserve Bank,37.9493,37.4757,98.752,0.0,-1.255834,-1.255834,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
Muse Spark 1.1,GHA,GHS,2026-01-15,2026-09-21,2.3125,2.3125,10.8,11.48,official,Yahoo Finance (USDGHS=X),Yahoo Finance (USDGHS=X),24.975,26.5475,106.2963,0.0,6.106026,6.106026,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
Muse Spark 1.1,EGY,EGP,2026-01-15,2026-09-21,2.3125,2.3125,47.2692,51.8636,official,Yahoo Finance (USDEGP=X),Central Bank of Egypt,109.31,119.9346,109.7196,0.0,9.275827,9.275827,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
Muse Spark 1.1,MAR,MAD,2026-01-15,2026-09-18,2.3125,2.3125,9.2216,9.5119,official,Bank Al-Maghrib,Bank Al-Maghrib,21.325,21.9963,103.148,0.0,3.099509,3.099509,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
Muse Spark 1.1,ETH,ETB,2026-01-15,2026-09-18,2.3125,2.3125,154.899994,160.649994,official,Yahoo Finance (USDETB=X),Yahoo Finance (USDETB=X),358.2062,371.5031,103.7121,0.0,3.644834,3.644834,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
Muse Spark 1.1,RWA,RWF,2026-01-15,2026-09-21,2.3125,2.3125,1447.0,1467.849976,official,Yahoo Finance (USDRWF=X),Yahoo Finance (USDRWF=X),3346.1875,3394.4031,101.4409,0.0,1.430628,1.430628,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
Muse Spark 1.1,SEN,XOF,2026-01-15,2026-09-18,2.3125,2.3125,561.0,572.39,official,Yahoo Finance (USDXOF=X),BCEAO (Central Bank of West African States),1297.3125,1323.6519,102.0303,0.0,2.009967,2.009967,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
Muse Spark 1.1,CIV,XOF,2026-01-15,2026-09-18,2.3125,2.3125,561.0,572.39,official,Yahoo Finance (USDXOF=X),BCEAO (Central Bank of West African States),1297.3125,1323.6519,102.0303,0.0,2.009967,2.009967,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
